instruction,response
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
    title: ""Number Line Arithmetic""
    animation:  animate a point moving along a number line to the right for addition and to the left for subtraction, illustrating basic arithmetic operations.
    important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class NumberLineArithmetic(Scene):
    def construct(self):
        title = Text(""Number Line Arithmetic"").scale(0.9)
        self.play(Write(title))
        self.wait(1)
        self.play(FadeOut(title))

        number_line = NumberLine(x_range=[-5, 5, 1], length=10, color=WHITE, include_numbers=True)
        self.play(Create(number_line))
        dot = Dot(point=number_line.n2p(0), color=YELLOW)
        self.play(FadeIn(dot))

        # Addition
        self.play(dot.animate.move_to(number_line.n2p(2)))
        self.wait(1)

        # Subtraction
        self.play(dot.animate.move_to(number_line.n2p(-1)))
        self.wait(1)"
"You are an expert Python developer experienced with the Manim package. You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Understanding Angles""
animation:  animate the formation of angles by rotating one line around a fixed point where it intersects another line. Highlight acute, obtuse, and right angles to illustrate the concept of angles.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class UnderstandingAngles(Scene):
    def construct(self):
        title = Text(""Understanding Angles"").scale(0.9)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Create lines
        line1 = Line(ORIGIN, 2*RIGHT, color=WHITE)
        line2 = Line(ORIGIN, 2*UP, color=WHITE).rotate_about_origin(PI/4)
        dot = Dot(ORIGIN, color=YELLOW)

        self.play(Create(line1), Create(dot))
        self.play(Rotate(line2, angle=-PI/4, about_point=ORIGIN), run_time=2)
        self.wait(1)

        # Acute angle
        acute_angle = Angle(line1, line2, radius=0.5, color=GREEN)
        self.play(Create(acute_angle))
        self.wait(1)

        # Right angle
        self.play(Rotate(line2, angle=PI/4, about_point=ORIGIN), run_time=2)
        right_angle = RightAngle(line1, line2, length=0.5, color=BLUE)
        self.play(Transform(acute_angle, right_angle))
        self.wait(1)

        # Obtuse angle
        self.play(Rotate(line2, angle=PI/2, about_point=ORIGIN), run_time=2)
        obtuse_angle = Angle(line1, line2, radius=0.5, other_angle=True, color=RED)
        self.play(Transform(acute_angle, obtuse_angle))
        self.wait(2)

        self.play(FadeOut(line1), FadeOut(line2), FadeOut(dot), FadeOut(acute_angle))"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Simple Harmonic Motion""
animation:  animate a pendulum swinging back and forth or a mass on a spring oscillating to demonstrate the basic idea of periodic motion.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class SimpleHarmonicMotion(Scene):
    def construct(self):
        title = Text(""Simple Harmonic Motion"").scale(1.5)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Pendulum setup
        pivot = Dot(ORIGIN).shift(UP*2)
        bob = Dot().shift(DOWN*2)
        rod = Line(pivot.get_center(), bob.get_center()).set_stroke(width=2)
        pendulum = VGroup(pivot, rod, bob)

        def update_pendulum(mob, dt):
            rate = 2  # Speed of oscillation
            mob.rotate(rate * dt, about_point=pivot.get_center())

        pendulum.add_updater(update_pendulum)
        self.add(pendulum)
        self.wait(10)  # Let it swing for 10 seconds
        pendulum.clear_updaters()
        self.play(FadeOut(pendulum))"
"You are an expert Python developer experienced with the Manim package. You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Visualizing Prime Numbers""
animation:  display a grid of numbers where prime numbers are highlighted in one color and non-prime numbers in another color. Optionally, animate the sieve of Eratosthenes algorithm to demonstrate how prime numbers are identified.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

class PrimeVisualization(Scene):
    def construct(self):
        title = Text(""Visualizing Prime Numbers"").scale(0.9)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        grid = VGroup()
        for i in range(1, 101):
            color = GREEN if is_prime(i) else RED
            number = Text(str(i), color=color).scale(0.5)
            grid.add(number)

        grid.arrange_in_grid(rows=10, cols=10, buff=0.5)
        self.play(Write(grid), run_time=3)
        self.wait(2)

        # Optional: Animate Sieve of Eratosthenes
        primes = []
        for i in range(2, 101):
            if is_prime(i):
                primes.append(i)
                for j in range(i*2, 101, i):
                    grid[j-1].set_color(BLUE)
                self.play(*[grid[j-1].animate.set_color(BLUE) for j in range(i*2, 101, i)], run_time=0.5)
                self.wait(0.5)

        self.wait(2)"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
    title: ""The Water Cycle in Nature""
    animation:  animate clouds forming, raining, and the rainwater collecting back into a body of water, illustrating the process of evaporation, condensation, precipitation, and collection in the water cycle.
    important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class WaterCycleScene(Scene):
    def construct(self):
        # Title
        title = Text(""The Water Cycle in Nature"").scale(0.9)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Clouds forming (Condensation)
        cloud1 = Circle(color=WHITE).shift(LEFT*2)
        cloud2 = Circle(color=WHITE).shift(LEFT*2 + UP*0.5)
        cloud3 = Circle(color=WHITE).shift(RIGHT*2)
        cloud4 = Circle(color=WHITE).shift(RIGHT*2 + UP*0.5)
        clouds = VGroup(cloud1, cloud2, cloud3, cloud4).scale(0.5)
        self.play(FadeIn(clouds))
        self.wait(2)

        # Rain (Precipitation)
        raindrops = VGroup(*[Line(start=3*UP + i*RIGHT*0.5, end=2*DOWN + i*RIGHT*0.5) for i in range(-5, 6)])
        self.play(ShowCreation(raindrops), run_time=2)
        self.wait(1)
        self.play(FadeOut(raindrops))

        # Water collection (Collection)
        water = Rectangle(width=FRAME_WIDTH, height=1, color=BLUE).shift(DOWN*1.5)
        self.play(FadeIn(water))
        self.wait(1)

        # Evaporation
        evaporation = Text(""Evaporation"", font_size=24).shift(UP*3)
        self.play(Write(evaporation))
        self.wait(2)
        self.play(FadeOut(evaporation), FadeOut(water), FadeOut(clouds))

        self.wait(2)"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Electric Circuit Demonstration""
animation:  animate a basic electrical circuit consisting of a battery, resistor, and a light bulb. Show the flow of current from the battery through the resistor, lighting up the bulb to demonstrate the circuit in action.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class ElectricCircuitDemo(Scene):
    def construct(self):
        title = Text(""Electric Circuit Demonstration"").scale(0.9)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Drawing the circuit components
        battery = Rectangle(height=1, width=0.5).set_fill(BLUE, opacity=0.5)
        battery_text = Text(""Battery"", font_size=24).next_to(battery, UP)
        resistor = Rectangle(height=0.5, width=1).set_fill(RED, opacity=0.5)
        resistor_text = Text(""Resistor"", font_size=24).next_to(resistor, UP)
        bulb = Circle(radius=0.5).set_fill(YELLOW, opacity=0.5)
        bulb_text = Text(""Bulb"", font_size=24).next_to(bulb, UP)

        # Positioning
        battery.shift(LEFT * 3)
        resistor.next_to(battery, RIGHT, buff=1)
        bulb.next_to(resistor, RIGHT, buff=1)

        # Drawing wires
        wire1 = Line(battery.get_right(), resistor.get_left())
        wire2 = Line(resistor.get_right(), bulb.get_center())
        wire3 = Line(bulb.get_center(), battery.get_left())

        self.play(FadeIn(battery, battery_text, resistor, resistor_text, bulb, bulb_text, wire1, wire2, wire3))

        # Animate current flow
        current_dots = [Dot(color=RED).move_to(wire1.get_start()) for _ in range(5)]
        for dot in current_dots:
            self.add(dot)
            self.play(dot.animate(rate_func=linear).move_to(wire2.get_end()), run_time=2)
            self.play(dot.animate(rate_func=linear).move_to(wire3.get_end()), run_time=2)
            self.remove(dot)

        # Light up the bulb
        self.play(bulb.animate.set_fill(YELLOW, opacity=1))
        self.wait(2)"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Gravity in Action""
animation:  animate objects of different masses falling towards the Earth at the same rate, disregarding air resistance, to illustrate the concept of gravity.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class GravityInAction(Scene):
    def construct(self):
        title = Text(""Gravity in Action"").scale(1.5)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        earth = Circle(color=BLUE, fill_opacity=1).scale(0.5).shift(DOWN*3)
        earth_text = Text(""Earth"", color=WHITE).scale(0.5).next_to(earth, DOWN)
        self.add(earth, earth_text)

        # Objects with different masses
        object1 = Circle(color=RED, fill_opacity=1).scale(0.2).shift(UP*3 + LEFT*3)
        object2 = Square(color=YELLOW, fill_opacity=1).scale(0.3).shift(UP*3)
        object3 = Triangle(color=GREEN, fill_opacity=1).scale(0.25).shift(UP*3 + RIGHT*3)

        self.play(FadeIn(object1, object2, object3))
        self.wait(1)

        # Animate objects falling at the same rate
        self.play(object1.animate.shift(DOWN*6), object2.animate.shift(DOWN*6), object3.animate.shift(DOWN*6), run_time=2, rate_func=linear)
        self.wait(2)"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
    title: ""Seasons Explained""
    animation:  animate the Earth's tilt and orbit around the Sun, demonstrating how the angle of sunlight changes over the course of a year and how this leads to the occurrence of seasons.
    important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class SeasonsExplained(Scene):
    def construct(self):
        # Title
        title = Text(""Seasons Explained"", font_size=40)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Setup
        sun = Circle(radius=0.5, color=YELLOW).shift(LEFT*3)
        earth = Circle(radius=0.2, color=BLUE).shift(RIGHT*3)
        orbit_path = Ellipse(width=6, height=3, color=WHITE).shift(LEFT*3)

        # Earth's tilt
        tilt_line = Line(earth.get_top(), earth.get_bottom(), color=WHITE)
        earth.add(tilt_line)
        earth_tilt = earth.copy().rotate(23.5 * DEGREES, about_point=earth.get_center())

        # Animation
        self.play(Create(sun), Create(orbit_path), Transform(earth, earth_tilt))
        self.play(earth.animate.move_to(orbit_path.point_from_proportion(0)))
        self.play(MoveAlongPath(earth, orbit_path), rate_func=linear, run_time=8)
        self.wait(2)"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Decimal to Binary Conversion""
animation:  animate the conversion of decimal numbers to binary by lighting up bits (0s and 1s) in a row to represent different decimal values.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class DecimalToBinary(Scene):
    def construct(self):
        title = Text(""Decimal to Binary Conversion"").scale(0.9)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        numbers = [1, 2, 3, 4, 5, 6, 7, 8]
        for number in numbers:
            binary_string = format(number, 'b')
            binary_text = Text(binary_string, font_size=64)
            self.play(Write(binary_text))
            self.wait(1)
            self.play(FadeOut(binary_text))"
"You are an expert Python developer experienced with the Manim package.You should only give the code delimited by ```, do not give any descriptions or how to run it. Give me Python code that creates a Manim animation with the specifications below:
title: ""Caesar Cipher Encryption and Decryption""
animation:  animate the process of encrypting a message using a Caesar cipher by shifting letters in the alphabet to the right, and decrypting the message by shifting letters to the left, visualizing simple data encryption and decryption.
important note: The code for the animation should be very simple. The animation should have little text if at all. There should not be any use of svgs or external files.","from manim import *

class CaesarCipher(Scene):
    def construct(self):
        title = Text(""Caesar Cipher Encryption and Decryption"").scale(0.7)
        self.play(Write(title))
        self.wait(2)
        self.play(FadeOut(title))

        # Encryption
        plaintext = Text(""HELLO"", font_size=48)
        self.play(Write(plaintext))
        self.wait(1)

        shift_text = Text(""Shift: 3"", font_size=36).next_to(plaintext, DOWN)
        self.play(Write(shift_text))
        self.wait(1)

        encrypted_text = Text(""KHOOR"", font_size=48).next_to(shift_text, DOWN)
        self.play(Transform(plaintext, encrypted_text))
        self.wait(2)

        # Decryption
        decrypt_text = Text(""Decrypt"", font_size=36).next_to(encrypted_text, DOWN)
        self.play(Write(decrypt_text))
        self.wait(1)

        decrypted_text = Text(""HELLO"", font_size=48).move_to(plaintext.get_center())
        self.play(Transform(encrypted_text, decrypted_text))
        self.wait(2)

        self.play(FadeOut(plaintext), FadeOut(shift_text), FadeOut(decrypted_text), FadeOut(decrypt_text))"
